,finish,name,age,country,time,Unnamed: 5,Unnamed: 6
0,1,"Leopold, Axel",MA1,USA,43.04,,
1,2,"Barber, Caden",MA1,USA,44.28,,
2,3,"Jostes, Milan",MA1,USA,45.03,SB,
3,4,"Tsai, Alan",MA1,USA,45.56,PR,SB
4,5,"Weber, Max",MYA,USA,46.46,PR,SB
5,6,"Shobe, Carl",MC2,USA,47.93,SB,
6,7,"Campbell, Ezra",MC2,USA,50.95,,
7,8,"Jensen, Zachary",MB1,USA,51.57,,
8,9,"Kosel, Patrick",MC1,USA,53.29,,
9,10,"Kriieter, Joshua",M?,USA,53.32,PR,SB
10,11,"Chamberlain, Sam",MYB,USA,54.15,PR,SB
11,12,"Moreton, Brock",MC1,USA,56.52,PR,SB
12,13,"Nagel, Edward",MC1,USA,57.30,PR,SB
